id,depth.mean,depth.top,depth.btm,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,smb,pseudo
CHICH_P4-21,19.5,18,21,-71.1669,111.3665,74,0.0717,0.0782,0.0311,0.0152,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-24,22.5,21,24,-71.1669,111.3665,75,0.0706,0.077,0.0306,0.011,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-27,25.5,24,27,-71.1669,111.3665,63,0.0675,0.0724,0.0299,0.0172,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-30,28.5,27,30,-71.1669,111.3665,72,0.0702,0.0759,0.0308,0.0139,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-33,31.5,30,33,-71.1669,111.3665,69,0.0681,0.0743,0.0295,0.0085,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-36,34.5,33,36,-71.1669,111.3665,76,0.0669,0.072,0.0294,0.0076,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-39,37.5,36,39,-71.1669,111.3665,103,0.0629,0.0662,0.0285,0.005,2,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-42,40.5,39,42,-71.1669,111.3665,134,0.064,0.0659,0.0297,0.0106,2,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-45,43.5,42,45,-71.1669,111.3665,167,0.0599,0.0622,0.0275,0.0115,3,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-48,46.5,45,48,-71.1669,111.3665,103,0.0541,0.0569,0.0245,0.0178,2,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
CHICH_P4-51,49.5,48,51,-71.1669,111.3665,68,0.0573,0.0566,0.0279,0.0469,1,0.0006,0.0008,0.0003,0.0009,p4,ABN,122,0
