distance.km,plot.dist.mean,elevation.rema
137.1,137.2,2714
137.3,137.45,2714
137.6,137.7,2715
137.8,137.9,2715
138,138.15,2715
138.3,138.4,2716
138.5,138.65,2716
138.8,138.9,2716
139,139.1,2717
139.2,139.35,2717
139.5,139.6,2717
139.7,139.8,2717
139.9,140.05,2718
140.2,140.3,2718
140.4,140.5,2718
140.6,140.75,2718
140.9,141,2718
141.1,141.25,2718
141.4,141.5,2718
141.6,141.7,2719
141.8,141.95,2719
142.1,142.2,2719
142.3,142.4,2719
142.5,142.65,2719
142.8,142.9,2719
143,143.1,2719
143.2,143.35,2720
143.5,143.6,2719
143.7,143.85,2719
144,144.1,2720
144.2,144.3,2720
144.4,144.55,2720
144.7,144.8,2720
144.9,145,2720
145.1,145.25,2720
145.4,145.5,2721
145.6,145.7,2721
145.8,145.95,2722
146.1,146.2,2722
146.3,146.45,2723
146.6,146.7,2724
146.8,146.9,2724
147,147.15,2725
147.3,147.4,2726
147.5,147.6,2727
147.7,147.85,2728
148,148.1,2728
148.2,148.3,2729
148.4,148.55,2730
148.7,148.8,2731
148.9,149.05,2731
149.2,149.3,2731
149.4,149.5,2731
149.6,149.75,2732
149.9,150,2731
150.1,150.2,2731
150.3,150.45,2731
150.6,150.7,2731
150.8,150.9,2731
151,151.1,2731
151.2,151.3,2730
151.4,151.55,2730
151.7,151.8,2729
151.9,152,2729
152.1,152.2,2729
152.3,152.45,2729
152.6,152.7,2728
152.8,152.9,2728
153,153.1,2728
153.2,153.35,2728
153.5,153.6,2727
153.7,153.8,2728
153.9,154,2728
154.1,154.25,2728
154.4,154.5,2728
154.6,154.7,2728
154.8,154.9,2729
155,155.15,2728
155.3,155.4,2729
155.5,155.6,2729
155.7,155.8,2729
155.9,156.05,2729
156.2,156.3,2729
156.4,156.5,2728
156.6,156.7,2729
156.8,156.9,2728
157,157.15,2728
157.3,157.4,2727
157.5,157.6,2727
157.7,157.8,2726
157.9,158.05,2726
158.2,158.3,2725
158.4,158.5,2724
158.6,158.7,2724
158.8,158.95,2723
159.1,159.2,2722
159.3,159.4,2721
159.5,159.6,2721
159.7,159.85,2720
160,160.1,2720
160.2,160.3,2719
160.4,160.5,2719
160.6,160.75,2718
160.9,161,2718
161.1,161.2,2718
161.3,161.4,2718
161.5,161.65,2718
161.8,161.9,2719
162,162.1,2718
162.2,162.3,2719
162.4,162.55,2718
162.7,162.8,2719
162.9,163,2719
163.1,163.25,2719
163.4,163.5,2719
163.6,163.7,2719
163.8,163.9,2720
164,164.15,2719
164.3,164.4,2720
164.5,164.6,2720
164.7,164.8,2721
164.9,165.05,2721
165.2,165.3,2723
165.4,165.5,2723
165.6,165.75,2724
165.9,166,2724
166.1,166.2,2725
166.3,166.4,2726
166.5,166.65,2726
166.8,166.9,2726
167,167.1,2726
167.2,167.3,2726
167.4,167.55,2726
167.7,167.8,2726
167.9,168,2725
168.1,168.2,2725
168.3,168.45,2724
168.6,168.7,2725
168.8,168.9,2724
169,169.15,2723
169.3,169.4,2723
169.5,169.6,2723
169.7,169.8,2722
169.9,170.05,2722
170.2,170.3,2721
170.4,170.5,2721
170.6,170.7,2721
170.8,170.95,2721
171.1,171.2,2721
171.3,171.4,2721
171.5,171.65,2722
171.8,171.9,2722
172,172.1,2722
172.2,172.3,2724
172.4,172.55,2724
172.7,172.8,2725
172.9,173,2726
173.1,173.2,2727
173.3,173.45,2728
173.6,173.7,2729
173.8,173.9,2730
174,174.15,2731
174.3,174.4,2731
174.5,174.6,2732
174.7,174.8,2732
174.9,175.05,2732
175.2,175.3,2732
175.4,175.5,2733
175.6,175.7,2732
175.8,175.95,2732
176.1,176.2,2730
176.3,176.4,2730
176.5,176.6,2729
176.7,176.85,2728
177,177.1,2726
177.2,177.3,2726
177.4,177.55,2724
177.7,177.8,2723
177.9,178,2722
178.1,178.2,2721
178.3,178.45,2720
178.6,178.7,2719
178.8,178.9,2719
179,179.1,2718
179.2,179.35,2718
179.5,179.6,2717
179.7,179.8,2718
179.9,180.05,2718
180.2,180.3,2719
180.4,180.5,2720
180.6,180.7,2720
180.8,180.95,2721
181.1,181.2,2722
181.3,181.4,2723
181.5,181.6,2723
181.7,181.85,2724
182,182.1,2725
182.2,182.3,2726
182.4,182.55,2727
182.7,182.8,2727
182.9,183,2728
183.1,183.2,2729
183.3,183.45,2731
183.6,183.7,2732
183.8,183.9,2733
184,184.1,2734
184.2,184.35,2735
184.5,184.6,2736
184.7,184.8,2737
184.9,185,2737
185.1,185.25,2738
185.4,185.5,2738
185.6,185.7,2738
185.8,185.95,2738
186.1,186.2,2738
186.3,186.4,2737
186.5,186.6,2737
186.7,186.85,2736
187,187.1,2736
187.2,187.3,2734
187.4,187.5,2734
187.6,187.75,2733
187.9,188,2732
188.1,188.2,2731
188.3,188.45,2729
188.6,188.7,2729
188.8,188.9,2728
189,189.1,2727
189.2,189.35,2726
189.5,189.6,2726
189.7,189.8,2725
189.9,190,2726
190.1,190.25,2726
190.4,190.5,2727
190.6,190.7,2726
190.8,190.95,2728
191.1,191.2,2729
191.3,191.4,2730
191.5,191.6,2731
191.7,191.85,2732
192,192.1,2734
192.2,192.3,2735
192.4,192.5,2736
192.6,192.75,2737
192.9,193,2738
193.1,193.2,2739
193.3,193.4,2740
193.5,193.65,2740
193.8,193.9,2741
194,194.1,2741
194.2,194.35,2742
194.5,194.6,2742
194.7,194.8,2741
194.9,195,2742
195.1,195.25,2742
195.4,195.5,2743
195.6,195.7,2742
195.8,195.9,2743
196,196.15,2743
196.3,196.4,2744
196.5,196.6,2745
196.7,196.85,2746
197,197.1,2746
197.2,197.3,2747
197.4,197.5,2748
197.6,197.75,2750
197.9,198,2750
198.1,198.2,2751
198.3,198.4,2752
198.5,198.65,2753
198.8,198.9,2754
199,199.1,2755
199.2,199.35,2756
199.5,199.6,2756
199.7,199.8,2757
199.9,200,2757
200.1,200.25,2757
200.4,200.5,2757
200.6,200.7,2757
200.8,200.9,2757
201,201.15,2757
201.3,201.4,2756
201.5,201.6,2755
201.7,201.85,2755
202,202.1,2754
202.2,202.3,2754
202.4,202.5,2753
202.6,202.75,2753
202.9,203,2752
203.1,203.2,2753
203.3,203.4,2752
203.5,203.65,2752
203.8,203.9,2751
204,204.1,2752
204.2,204.3,2752
204.4,204.55,2752
204.7,204.8,2753
204.9,205,2753
205.1,205.25,2754
205.4,205.5,2754
205.6,205.7,2756
205.8,205.9,2756
206,206.15,2758
206.3,206.4,2758
206.5,206.6,2759
206.7,206.8,2760
206.9,207.05,2761
207.2,207.3,2761
207.4,207.5,2763
207.6,207.75,2763
207.9,208,2764
208.1,208.2,2764
208.3,208.4,2764
208.5,208.65,2764
208.8,208.9,2764
209,209.1,2765
209.2,209.3,2765
209.4,209.55,2765
209.7,209.8,2765
209.9,210,2766
210.1,210.25,2765
210.4,210.5,2766
210.6,210.7,2765
210.8,210.9,2766
211,211.15,2766
211.3,211.4,2767
211.5,211.6,2767
211.7,211.8,2768
211.9,212.05,2769
212.2,212.3,2770
212.4,212.5,2771
212.6,212.7,2771
212.8,212.95,2772
213.1,213.2,2772
213.3,213.4,2773
213.5,213.65,2774
213.8,213.9,2775
214,214.1,2775
214.2,214.3,2776
214.4,214.55,2776
214.7,214.8,2777
214.9,215,2777
215.1,215.2,2778
215.3,215.45,2779
215.6,215.7,2779
215.8,215.9,2779
216,216.15,2780
216.3,216.4,2780
216.5,216.6,2780
216.7,216.8,2780
216.9,217.05,2780
217.2,217.3,2780
217.4,217.5,2780
217.6,217.7,2781
217.8,217.95,2781
218.1,218.2,2781
218.3,218.4,2781
218.5,218.65,2781
218.8,218.9,2781
219,219.1,2781
219.2,219.3,2781
219.4,219.55,2780
219.7,219.8,2780
219.9,220,2780
220.1,220.2,2780
220.3,220.45,2780
220.6,220.7,2781
220.8,220.9,2781
221,221.1,2781
221.2,221.35,2781
221.5,221.6,2781
221.7,221.8,2781
221.9,222.05,2782
222.2,222.3,2782
222.4,222.5,2782
222.6,222.7,2782
222.8,222.95,2782
223.1,223.2,2782
223.3,223.4,2783
223.5,223.6,2783
223.7,223.85,2783
224,224.1,2784
224.2,224.3,2784
224.4,224.5,2784
224.6,224.75,2784
224.9,225,2785
225.1,225.2,2785
225.3,225.4,2786
225.5,225.65,2786
225.8,225.9,2787
226,226.1,2787
226.2,226.3,2787
226.4,226.55,2788
226.7,226.8,2788
226.9,227,2787
227.1,227.2,2788
227.3,227.45,2787
227.6,227.7,2788
227.8,227.9,2787
228,228.15,2787
228.3,228.4,2786
228.5,228.6,2786
228.7,228.8,2785
228.9,229.05,2784
229.2,229.3,2783
229.4,229.5,2783
229.6,229.7,2782
229.8,229.95,2782
230.1,230.2,2781
230.3,230.4,2782
230.5,230.6,2781
230.7,230.85,2782
231,231.1,2781
231.2,231.3,2782
231.4,231.5,2783
231.6,231.75,2784
231.9,232,2784
232.1,232.2,2786
232.3,232.4,2787
232.5,232.65,2789
232.8,232.9,2791
233,233.1,2792
233.2,233.3,2793
233.4,233.55,2795
233.7,233.8,2796
233.9,234,2796
234.1,234.2,2797
234.3,234.45,2798
234.6,234.7,2798
234.8,234.9,2799
235,235.1,2799
235.2,235.3,2800
235.4,235.55,2800
235.7,235.8,2801
235.9,236,2802
236.1,236.2,2802
236.3,236.45,2803
236.6,236.7,2804
236.8,236.9,2804
237,237.1,2805
237.2,237.3,2805
237.4,237.55,2805
237.7,237.8,2806
237.9,238,2806
238.1,238.2,2806
238.3,238.45,2806
238.6,238.7,2806
238.8,238.9,2806
239,239.1,2806
239.2,239.3,2805
239.4,239.55,2805
239.7,239.8,2805
239.9,240,2804
240.1,240.2,2804
240.3,240.4,2804
240.5,240.65,2804
240.8,240.9,2804
241,241.1,2805
241.2,241.3,2805
241.4,241.55,2806
241.7,241.8,2808
241.9,242,2809
242.1,242.2,2810
242.3,242.4,2812
242.5,242.65,2813
242.8,242.9,2814
243,243.1,2816
243.2,243.3,2816
243.4,243.5,2816
243.6,243.75,2816
243.9,244,2817
244.1,244.2,2816
244.3,244.4,2817
244.5,244.65,2816
244.8,244.9,2817
245,245.1,2817
245.2,245.3,2817
245.4,245.5,2818
245.6,245.75,2818
245.9,246,2819
246.1,246.2,2819
246.3,246.4,2820
246.5,246.65,2820
246.8,246.9,2821
247,247.1,2821
247.2,247.3,2822
247.4,247.5,2821
247.6,247.75,2821
247.9,248,2820
248.1,248.2,2821
248.3,248.4,2820
248.5,248.6,2820
248.7,248.85,2820
249,249.1,2819
249.2,249.3,2819
249.4,249.5,2819
249.6,249.75,2819
249.9,250,2819
250.1,250.2,2820
250.3,250.4,2820
250.5,250.6,2820
250.7,250.85,2820
251,251.1,2821
251.2,251.3,2821
251.4,251.5,2821
