id,depth.mean,depth.top,depth.btm,density,lat,long,NO3,d17O,d18O,D17O,d15N,NO3err,d17Oerr,d18Oerr,D17Oerr,d15Nerr,group,site,pseudo,smb.1979_2021,smb.1979_2021.mean.ci,smb.1979_2021.MARavgerr,smb.2011_2013,smb.2011_2013.mean.ci,smb.2011_2013.MARavgerr,smb.2013,smb.2013.MARerr
CHICH_P5-138,136.5,135,138,427,-71.1669,111.3665,48.6,0.0683,0.0707,0.0315,0.0632,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-141RR,139.5,138,141,424,-71.1669,111.3665,46.6,0.066,0.0685,0.0304,0.0567,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-144,142.5,141,144,424,-71.1669,111.3665,43.8,0.0678,0.071,0.0309,0.0457,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-147,145.5,144,147,424,-71.1669,111.3665,53.8,0.0611,0.0629,0.0284,0.05,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-150,148.5,147,150,424,-71.1669,111.3665,67,0.055,0.0531,0.0273,0.066,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-153,151.5,150,153,419,-71.1669,111.3665,56.7,0.0559,0.0586,0.0254,0.0289,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-156,154.5,153,156,413,-71.1669,111.3665,45.2,0.0565,0.0643,0.0231,-0.0025,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-159,157.5,156,159,412,-71.1669,111.3665,42,0.0534,0.061,0.0217,-0.009,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-162,160.5,159,162,420,-71.1669,111.3665,40.8,0.0529,0.0598,0.0218,-0.0097,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-165,163.5,162,165,429,-71.1669,111.3665,40.2,0.0532,0.06,0.022,-0.0087,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-168,166.5,165,168,438,-71.1669,111.3665,45.7,0.0565,0.0654,0.0226,0.0036,0,0.0009,0.0016,0.0003,0.0016,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-171,169.5,168,171,446,-71.1669,111.3665,43.8,0.0543,0.0565,0.0249,0.034,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-174,172.5,171,174,454,-71.1669,111.3665,44.9,0.0584,0.0608,0.0268,0.0453,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-177,175.5,174,177,458,-71.1669,111.3665,46.2,0.0639,0.0677,0.0287,0.0358,0,0.0012,0.0023,0.0002,0.0008,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-180D,178.5,177,180,455,-71.1669,111.3665,47.8,0.0641,0.0681,0.0286,0.0346,0,0.0005,0.0008,0.0003,0.0011,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-183,181.5,180,183,451,-71.1669,111.3665,60.6,0.0634,0.0669,0.0286,0.0352,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-186,184.5,183,186,447,-71.1669,111.3665,74.1,0.0547,0.0519,0.0277,0.0654,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-189,187.5,186,189,441,-71.1669,111.3665,86.8,0.0514,0.046,0.0275,0.0951,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-192,190.5,189,192,435,-71.1669,111.3665,101.3,0.0509,0.0454,0.0273,0.0983,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-195,193.5,192,195,426,-71.1669,111.3665,104,0.0518,0.0472,0.0272,0.0931,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-198,196.5,195,198,412,-71.1669,111.3665,95.2,0.0544,0.0514,0.0276,0.0807,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P5-201,199.5,198,201,411,-71.1669,111.3665,64.4,0.0594,0.0615,0.0274,0.0581,0,0.0006,0.0008,0.0003,0.0009,p5,ABN,0,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHIC_SKL_07,0,0,0,NA,-71.1669,111.3665,210.4,0.0682,0.0698,0.0319,0.0043,0,0.0005,0.0008,0.0003,0.0011,skl,ABN.p4,1,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
CHICH_P4-DL,78,54,102,NA,-71.1669,111.3665,57.3,0.0546,0.0554,0.0258,0.0433,0,0.0012,0.0023,0.0003,0.0011,dl,ABN.p4,1,128,7.3,1.9,114.3,35.4,1.9,114.9,1.7
